Vercel CLI 59.7.0 (Node.js 22.14.0)
Retrieving project…
> Environment Variables found for junkusanos-projects/famille-shift-matching [302ms]

 name                                                       value                       type      environments                        created     
 INTERNAL_BASE_URL                                          eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    299d ago    
 CRON_SECRET                                                eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    327d ago    
 TWILIO_FROM                                                eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    358d ago    
 TWILIO_MESSAGING_SERVICE_SID                               eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    358d ago    
 TWILIO_API_KEY_SID                                         eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    358d ago    
 TWILIO_API_KEY_SECRET                                      eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    358d ago    
 TWILIO_ACCOUNT_SID                                         eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    358d ago    
 NPM_CONFIG_FETCH_RETRIES                                   eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    382d ago    
 NPM_CONFIG_FETCH_RETRY_FACTOR                              eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    382d ago    
 NPM_CONFIG_FETCH_RETRY_MINTIMEOUT                          eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    382d ago    
 NPM_CONFIG_FETCH_RETRY_MAXTIMEOUT                          eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    382d ago    
 OPENAI_API_KEY                                             eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    431d ago    
 SUPABASE_SERVICE_ROLE_KEY                                  eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    442d ago    
 NEXT_PUBLIC_LINEWORKS_DOMAIN_ID                            eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    443d ago    
 BASE_URL                                                   eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    444d ago    
 LINEWORKS_DOMAIN_ID                                        eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    445d ago    
 LINEWORKS_CLIENT_SECRET                                    eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    445d ago    
 LINEWORKS_PRIVATE_KEY                                      eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    446d ago    
 LINEWORKS_SERVICE_ACCOUNT                                  eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    446d ago    
 LINEWORKS_CLIENT_ID                                        eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    446d ago    
 SMTP_SEND_MAIL                                             eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    447d ago    
 SMTP_USER                                                  eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    447d ago    
 SMTP_SERVER                                                eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    447d ago    
 GOOGLE_SERVICE_ACCOUNT_KEY                                 eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    459d ago    
 NEXT_PUBLIC_GOOGLE_CLIENT_ID                               eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    459d ago    
 GOOGLE_CLIENT_ID                                           eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    459d ago    
 GOOGLE_CLIENT_SECRET                                       eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    459d ago    
 SMTP_PASSWORD                                              eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    460d ago    
 RECRUIT_CONTACT_EMAIL                                      eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    462d ago    
 GMAIL_USER                                                 eyJ2IjoidjIiLCJjIj…         Config    Development, Preview, Production    463d ago    
 GMAIL_PASS                                                 eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    463d ago    
 NEXT_PUBLIC_SUPABASE_URL                                   eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    463d ago    
 NEXT_PUBLIC_SUPABASE_ANON_KEY                              eyJ2IjoidjIiLCJjIj…         Config    Production, Preview, Development    463d ago    

Next steps:
- Add an Environment Variable:
  vercel env add
- Remove an Environment Variable:
  vercel env rm
- Pull Development Environment Variables into .env.local:
  vercel env pull
